year,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,valence,tempo,time_signature,class
1991,218920,0.508,0.826,4,-5.783,0,0.04,0.000175,0.000459,0.543,120.012,4,RnB
2008,238640,0.515,0.43,7,-9.935,1,0.0369,0.0102,0.000141,0.104,91.841,4,RnB
2007,311014,0.566,0.429,5,-7.826,1,0.0242,0.715,1.44e-05,0.173,146.365,4,Rock
2003,265506,0.554,0.49,4,-8.046,1,0.0457,0.0168,0.000534,0.513,84.275,4,Pop
2010,223106,0.809,0.72,6,-7.776,1,0.136,0.0337,0.00141,0.832,138.556,4,RnB
2008,210480,0.42,0.925,7,-4.217,0,0.12,0.000363,0.002,0.322,127.422,4,Metal
2003,230960,0.276,0.755,0,-5.406,1,0.046,0.00583,0.000543,0.194,137.149,4,Electronic
2012,384933,0.232,0.8,5,-6.863,1,0.0573,0.0523,0.00606,0.299,81.849,4,Jazz
2013,488019,0.354,0.361,9,-12.722,0,0.0509,0.625,0.0112,0.212,80.36,4,Punk
2014,288160,0.668,0.736,9,-10.753,0,0.0277,0.0115,0.000259,0.629,126.978,4,Pop
2005,230093,0.514,0.435,4,-13.517,1,0.0353,0.0078,0.000859,0.212,82.104,4,Rock
2017,181533,0.442,0.943,3,-3.205,1,0.0602,0.00293,8.71e-06,0.781,85.064,4,Rock
2007,278520,0.609,0.842,0,-5.861,1,0.0342,0.0044,0.0116,0.459,115.158,4,Rock
2004,235480,0.369,0.981,3,-2.62,0,0.16,0.000391,0.0104,0.379,125.002,4,Rock
2010,226760,0.411,0.914,9,-6.121,0,0.051,0.000462,0.00103,0.441,93.123,4,Rock
1991,254760,0.433,0.744,10,-8.97,0,0.0449,9.84e-06,7.73e-05,0.595,157.18,4,Punk
2004,208466,0.646,0.893,6,-4.799,1,0.0301,0.0151,3.59e-06,0.559,100.951,4,Rock
2002,269000,0.618,0.938,9,-3.442,1,0.0456,0.0179,0.0,0.875,91.455,4,Electronic
1991,388266,0.553,0.362,4,-11.218,0,0.0263,0.0458,6.01e-06,0.158,142.352,3,Metal
2012,203680,0.559,0.791,8,-6.966,0,0.0662,0.0668,0.0,0.716,            103.38,4,Rock
2011,270666,0.558,0.511,11,-7.346,0,0.03,0.176,0.000952,0.184,139.858,4,Rock
2012,228346,0.423,0.566,9,-6.55,1,0.0272,0.0526,3.66e-06,0.218,144.688,4,Rock
1993,170000,0.417,0.739,8,-10.543,1,0.0466,0.0186,0.0,0.255,111.928,4,Rock
2006,175426,0.634,0.599,2,-5.447,1,0.0365,0.0288,0.0,0.312,112.215,4,Rock
1995,290706,0.454,0.229,2,-12.592,1,0.0297,0.167,0.102,0.134,73.552,4,Rock
